,year,month,건강/취미,경제경영,고전,과학,달력/기타,대학교재/전문서적,만화,사회과학,소설/시/희곡,수험서/자격증,어린이,에세이,여행,역사,예술/대중문화,외국어,요리/살림,유아,인문학,자기계발,잡지,전집/중고전집,종교/역학,좋은부모,참고서,청소년,컴퓨터/모바일,해외잡지
80,2016,9,172.5625,331.4909090909091,233.0,499.2105263157895,12.0,843.4782608695652,219.30107526881721,280.25,434.03090909090906,618.9769585253456,220.0,278.44628099173553,625.8823529411765,472.07142857142856,278.4,499.83240223463685,253.66666666666666,,367.45588235294116,340.3921568627451,0.0,92.0,236.0,372.22641509433964,256.0,342.22222222222223,488.93333333333334,
81,2016,10,198.0952380952381,335.09589041095893,233.0,534.2051282051282,12.0,298.0,210.94845360824743,294.95959595959596,395.7117988394584,639.1198156682028,220.0,283.6363636363636,525.1428571428571,448.3703703703704,292.0,482.231884057971,260.2,,329.325,322.8888888888889,0.0,92.0,380.0,349.12820512820514,283.0,340.8,257.5,
82,2016,11,143.03846153846155,319.5268817204301,233.0,515.9777777777778,12.0,298.0,193.1823899371069,294.1818181818182,414.20458891013385,629.3063063063063,220.0,282.2785714285714,541.6,457.7741935483871,359.6363636363636,452.6744186046512,297.4166666666667,,326.5079365079365,305.3529411764706,0.0,92.0,236.8,334.5945945945946,248.0,299.7142857142857,247.5,
83,2016,12,165.28571428571428,350.9901960784314,233.0,501.91379310344826,1.0,298.0,199.4569536423841,291.0925925925926,380.72660550458716,582.3644067796611,220.0,281.045197740113,656.0,489.14285714285717,284.75,495.704,302.52777777777777,,355.05,314.4810126582278,0.0,92.0,257.0,331.6756756756757,256.0,309.06666666666666,533.7777777777778,
84,2017,1,191.69230769230768,374.0104166666667,233.0,547.0425531914893,1.0,462.0,192.7089552238806,301.0813953488372,343.49893842887474,514.2061855670103,220.0,299.47027027027025,608.0,408.5,202.4375,458.97752808988764,257.8888888888889,,385.99378881987576,322.4691358024691,0.0,92.0,289.0,358.55555555555554,268.3636363636364,295.46666666666664,541.3846153846154,
85,2017,2,206.0,367.7,233.0,560.7608695652174,1.0,913.5555555555555,210.765625,292.4842105263158,347.1190476190476,461.936,220.0,301.87567567567567,256.8,333.27906976744185,295.64285714285717,425.74301675977654,213.76,,366.8545454545455,292.6233766233766,0.0,92.0,333.2,384.0,412.57142857142856,264.57142857142856,678.6666666666666,
86,2017,3,205.33333333333334,295.1029411764706,233.0,469.13461538461536,1.0,721.1379310344828,243.70555555555555,328.0230769230769,334.88988764044944,406.02941176470586,220.0,287.0159574468085,256.8,422.4102564102564,299.25714285714287,445.6484848484848,240.0,,341.7906976744186,305.61538461538464,0.0,92.0,296.6,342.56,393.3333333333333,383.6923076923077,754.0833333333334,
87,2017,4,133.09677419354838,284.85135135135135,233.0,470.375,1.0,333.2,260.6711111111111,337.23809523809524,351.6496815286624,399.93906810035844,220.0,289.69662921348316,410.6666666666667,423.56666666666666,325.48148148148147,426.4724409448819,198.5,,337.74468085106383,314.69444444444446,0.0,92.0,449.8,337.3953488372093,256.0,785.0,850.6666666666666,
88,2017,5,177.2941176470588,315.92452830188677,233.0,456.234375,1.0,333.2,257.3707317073171,330.74545454545455,350.1309523809524,358.1283422459893,220.0,295.74407582938386,362.0,407.75,378.3333333333333,419.784,243.76,,363.30075187969925,308.987012987013,0.0,92.0,374.0,318.46938775510205,341.6666666666667,211.42857142857142,676.8,62.0
89,2017,6,200.0,353.752,233.0,435.7068965517241,1.0,333.2,267.29585798816566,328.5882352941176,361.87620889748547,381.8455284552846,220.0,304.1235294117647,580.8,546.4864864864865,350.25,429.9451219512195,280.57142857142856,,347.7257142857143,314.92134831460675,0.0,92.0,341.2631578947368,334.0851063829787,256.0,261.0,527.0909090909091,62.0
90,2017,7,201.3793103448276,363.7450980392157,233.0,469.55737704918033,1.0,333.2,294.3636363636364,322.19607843137254,363.9874739039666,473.7926267281106,220.0,334.32894736842104,392.0,437.375,290.1111111111111,445.13592233009706,211.52,,366.1975308641975,324.2682926829268,0.0,92.0,244.5,308.3333333333333,379.42857142857144,300.70588235294116,473.04347826086956,62.0
91,2017,8,245.55555555555554,336.2345679012346,233.0,486.925,1.0,808.4,247.19095477386935,313.17721518987344,374.35907335907336,579.3988439306358,220.0,316.5287958115183,678.6666666666666,436.63157894736844,321.58620689655174,411.69182389937106,209.5,,370.8780487804878,294.2156862745098,0.0,92.0,192.22222222222223,312.3076923076923,256.0,276.0,533.8666666666667,62.0
92,2017,9,180.28571428571428,333.0357142857143,233.0,443.5,1.0,765.0,308.5204678362573,291.90909090909093,389.54919499105546,574.932,220.0,313.09714285714284,294.6666666666667,541.5172413793103,323.3333333333333,434.0064935064935,408.9230769230769,,362.34659090909093,286.8131868131868,0.0,92.0,177.6,340.0,691.1111111111111,231.33333333333334,661.75,62.0
93,2017,10,182.25,337.3058823529412,233.0,465.76190476190476,1.0,765.0,326.3333333333333,286.9367088607595,388.9413629160063,544.0365853658536,220.0,296.38926174496646,420.6666666666667,641.5384615384615,329.25,387.43220338983053,292.8,,357.625,291.11578947368423,0.0,92.0,235.45454545454547,394.2857142857143,256.0,255.25,377.3333333333333,62.0
94,2017,11,210.42857142857142,365.325,233.0,444.1372549019608,1.0,765.0,291.5586206896552,307.89473684210526,349.565445026178,533.5527638190955,220.0,287.0056818181818,366.0,481.2340425531915,254.0,367.02758620689656,308.8421052631579,,353.5483870967742,299.1926605504587,0.0,92.0,290.0,389.2,256.0,258.15384615384613,464.0,62.0
95,2017,12,183.8095238095238,417.1770833333333,233.0,447.54285714285714,1.0,765.0,294.5111111111111,345.94444444444446,362.98604651162793,519.1611111111112,220.0,285.89130434782606,338.0,483.14285714285717,271.25,405.3448275862069,302.05405405405406,,371.95348837209303,304.7070707070707,0.0,92.0,288.2857142857143,350.3333333333333,256.0,348.6666666666667,588.7272727272727,62.0
96,2018,1,240.75,404.6796875,233.0,470.27272727272725,1.0,765.0,342.9382716049383,363.0169491525424,385.1272365805169,496.3788395904437,220.0,279.2741935483871,274.2857142857143,500.9655172413793,223.8,418.68715083798884,344.54545454545456,,391.0820895522388,301.77272727272725,0.0,92.0,282.0,306.5,648.1,522.3333333333334,670.8421052631579,62.0
97,2018,2,249.2173913043478,369.9732142857143,233.0,474.48571428571427,1.0,765.0,328.1443298969072,286.25333333333333,351.33641404805917,496.3539094650206,220.0,283.6737588652482,352.0,537.7777777777778,303.037037037037,401.60122699386505,426.0625,,357.4295302013423,320.1592920353982,0.0,92.0,332.0,306.0,278.4,393.5,573.92,62.0
98,2018,3,332.3809523809524,358.03418803418805,233.0,433.60377358490564,1.0,741.7627118644068,217.4852071005917,319.48936170212767,325.0492505353319,401.505376344086,220.0,290.45864661654133,329.3333333333333,399.8695652173913,233.58333333333334,415.3375796178344,301.0,,364.08125,314.82758620689657,0.0,92.0,522.2857142857143,296.51851851851853,256.0,289.6,692.734693877551,62.0
99,2018,4,344.1818181818182,336.3,233.0,396.7413793103448,1.0,325.8125,213.08235294117648,311.63157894736844,325.3389121338912,351.96949152542373,220.0,280.76129032258063,329.3333333333333,411.7647058823529,221.4102564102564,407.12295081967216,231.2,,359.6448087431694,311.8235294117647,0.0,92.0,248.0,291.93939393939394,256.0,504.0,648.3636363636364,62.0
100,2018,5,217.84615384615384,351.991452991453,233.0,460.175,1.0,224.0,241.37575757575758,345.1458333333333,326.1377049180328,333.7795698924731,220.0,277.2450980392157,329.8181818181818,465.96,235.44827586206895,409.22222222222223,218.58823529411765,28.0,354.2795698924731,296.35051546391753,104.0,92.0,319.0,304.1212121212121,256.0,228.0,778.7692307692307,62.0
